id_produk,nama_item,harga_satuan,stok_gudang,kategori_produk,tanggal_input
PRD-0001,Playdoh Max,396000,51,Mainan,2023-01-03
PRD-0002,Setrika Plus,1073000,373,Rumah & Dapur,2022-01-28
PRD-0003,Bibit Padi Series 5,571000,45,Pertanian,2022-10-01
PRD-0004,Ban Dalam Prime,2435000,110,Otomotif,2023-03-23
PRD-0005,Nail Polish Prime,723000,108,Kecantikan,2021-06-05
PRD-0006,Rem Cakram Elite,2347000,173,Otomotif,2021-03-26
PRD-0007,Bibit Padi V2,109000,240,Pertanian,2021-11-20
PRD-0008,Lego Lite,1172000,3,Mainan,2022-03-12
PRD-0009,Kamus HD,117000,236,Buku,2022-06-16
PRD-0010,Buku Motivasi Go,92000,7,Buku,2023-06-28
PRD-0011,Buku Agama Series 5,199000,382,Buku,2023-03-22
PRD-0012,Kabel Aki HD,914000,22,Otomotif,2024-10-24
PRD-0013,Blender Plus,140000,87,Rumah & Dapur,2022-05-01
PRD-0014,Puzzle HD,901000,323,Mainan,2021-03-30
PRD-0015,Rak One,68000,195,Rumah & Dapur,2021-12-04
PRD-0016,Selimut Prime,867000,460,Rumah & Dapur,2023-03-18
PRD-0017,Keyboard Max,7557000,131,Elektronik,2022-07-13
PRD-0018,Origami Kit V2,288000,181,Mainan,2022-12-13
PRD-0019,Cover Motor Pro,561000,378,Otomotif,2023-06-04
PRD-0020,Air Mineral Series 5,172000,311,Makanan & Minuman,2022-02-23
PRD-0021,Celana Plus,344000,151,Fashion,2021-06-28
PRD-0022,Cermin Elite,895000,450,Rumah & Dapur,2022-07-29
PRD-0023,Parfum Go,842000,119,Kecantikan,2023-05-17
PRD-0024,Dumbbell Mini,3043000,95,Olahraga,2022-11-26
PRD-0025,Ikat Pinggang Lite,72000,299,Fashion,2023-05-03
PRD-0026,Kamera Max,6476000,204,Elektronik,2021-12-11
PRD-0027,Playdoh Prime,789000,273,Mainan,2021-04-05
PRD-0028,Vacuum Cleaner Pro,1572000,369,Rumah & Dapur,2023-05-28
PRD-0029,Monopoly Go,501000,159,Mainan,2023-05-25
PRD-0030,Majalah Series 5,353000,54,Buku,2023-06-15
PRD-0031,Lip Balm V2,753000,345,Kecantikan,2022-12-30
PRD-0032,Atlas Lite,542000,587,Buku,2021-05-15
PRD-0033,Kaca Spion HD,1074000,35,Otomotif,2022-05-31
PRD-0034,Stopwatch X,2706000,403,Olahraga,2022-05-04
PRD-0035,Bibit Tomat HD,282000,220,Pertanian,2023-06-22
PRD-0036,Sarung Tinju X,1673000,160,Olahraga,2022-06-22
PRD-0037,Jus Buah One,468000,99,Makanan & Minuman,2022-01-24
PRD-0038,Sheet Mask Max,378000,367,Kecantikan,2023-06-25
PRD-0039,Toner Lite,222000,456,Kecantikan,2022-11-12
PRD-0040,Setrika X,1113000,336,Rumah & Dapur,2022-03-03
PRD-0041,Atlas Mini,388000,336,Buku,2022-02-14
PRD-0042,Smartphone Neo,9012000,103,Elektronik,2021-01-02
PRD-0043,Cangkul X,191000,261,Pertanian,2023-03-15
PRD-0044,Cover Motor Max,1105000,383,Otomotif,2023-05-22
PRD-0045,Balon Neo,1117000,320,Mainan,2022-09-27
PRD-0046,Air Mineral Lite,223000,378,Makanan & Minuman,2021-01-22
PRD-0047,Rok Lite,204000,297,Fashion,2021-02-02
PRD-0048,Speaker Lite,6349000,497,Elektronik,2022-07-25
PRD-0049,Oat Instan Lite,216000,387,Makanan & Minuman,2021-04-13
PRD-0050,Playdoh V2,382000,135,Mainan,2022-04-17
PRD-0051,Moisturizer HD,158000,461,Kecantikan,2022-04-03
PRD-0052,Playdoh Neo,396000,184,Mainan,2021-09-14
PRD-0053,Buku Teknik Go,426000,94,Buku,2023-04-27
PRD-0054,Kabel Aki HD,1976000,340,Otomotif,2021-06-23
PRD-0055,Ikat Pinggang Max,991000,267,Fashion,2021-01-16
PRD-0056,Topi V2,1061000,36,Fashion,2021-12-10
PRD-0057,Router X,9032000,140,Elektronik,2022-10-11
PRD-0058,Router Ultra,7081000,133,Elektronik,2021-06-19
PRD-0059,Gorden HD,239000,203,Rumah & Dapur,2021-02-07
PRD-0060,Kamera Neo,4067000,284,Elektronik,2023-02-13
PRD-0061,Sepatu Lari Mini,4094000,274,Olahraga,2023-09-24
PRD-0062,Mobil Remote V2,416000,59,Mainan,2022-05-12
PRD-0063,Rak Lite,2735000,186,Rumah & Dapur,2021-03-14
PRD-0064,Tali Rafia Max,592000,394,Pertanian,2024-09-29
PRD-0065,Sabun Muka Mini,572000,41,Kecantikan,2023-02-01
PRD-0066,Kemeja Elite,1739000,70,Fashion,2021-06-03
PRD-0067,Bibit Cabai Pro,545000,331,Pertanian,2022-01-24
PRD-0068,Lampu LED Mini,3249000,367,Rumah & Dapur,2021-08-26
PRD-0069,Oat Instan V2,182000,318,Makanan & Minuman,2023-11-16
PRD-0070,Power Bank Ultra,13561000,320,Elektronik,2022-03-23
PRD-0071,Buku Teknik Elite,148000,75,Buku,2022-05-24
PRD-0072,Kompos HD,32000,118,Pertanian,2022-01-21
PRD-0073,Rok V2,532000,290,Fashion,2022-03-31
PRD-0074,Jus Buah HD,100000,152,Makanan & Minuman,2023-11-16
PRD-0075,Vacuum Cleaner HD,3830000,427,Rumah & Dapur,2024-06-29
PRD-0076,Sarung Jok Lite,1308000,301,Otomotif,2021-02-16
