id_produk,nama_item,harga_satuan,stok_gudang,kategori_produk,tanggal_input
PRD-0775,Celana Lite,900000,233,Fashion,2024-02-24
PRD-0284,Cermin V2,2519000,53,Rumah & Dapur,2024-01-17
PRD-0863,Sekop X,448000,494,Pertanian,2023-09-14
PRD-0525,Bibit Padi Go,342000,432,Pertanian,2024-07-01
PRD-0368,Pot Tanaman Mini,802000,313,Pertanian,2023-09-10
PRD-0808,Kipas Angin Series 5,3172000,39,Rumah & Dapur,2024-02-05
PRD-0455,Atlas X,528000,20,Buku,2024-04-07
PRD-0269,Sprayer Mini,157000,581,Pertanian,2022-02-04
PRD-0713,Helm Full Face Neo,1454000,412,Otomotif,2024-06-27
PRD-0742,Dispenser One,3134000,153,Rumah & Dapur,2024-06-22
PRD-0847,Monopoly Go,1127000,468,Mainan,2024-06-25
PRD-0563,Kopi Arabika Mini,30000,464,Makanan & Minuman,2023-07-04
PRD-0843,Sprayer Go,315000,285,Pertanian,2024-04-21
PRD-0877,Puzzle Neo,454000,15,Mainan,2023-12-08
PRD-0625,Kopi Arabika V2,353000,291,Makanan & Minuman,2024-09-29
PRD-0687,Net Badminton HD,1468000,409,Olahraga,2023-11-20
PRD-0576,Headphone Go,14255000,225,Elektronik,2023-07-27
PRD-0729,Monopoly Go,106000,6,Mainan,2024-09-25
PRD-0619,Pot Tanaman Series 5,50000,111,Pertanian,2024-01-27
PRD-0516,Lampu LED Motor Elite,946000,124,Otomotif,2024-05-19
PRD-0012,Kabel Aki HD,914000,22,Otomotif,2024-10-24
PRD-0704,Kompos Elite,581000,166,Pertanian,2024-06-24
PRD-0509,Air Mineral Go,170000,390,Makanan & Minuman,2024-02-17
PRD-0892,Lip Balm V2,736000,370,Kecantikan,2024-05-23
PRD-0776,Speaker Max,827000,95,Elektronik,2024-06-10
PRD-0482,Kamus Prime,572000,164,Buku,2024-03-02
PRD-0783,Puzzle X,1095000,394,Mainan,2024-07-04
PRD-0164,Blush On Ultra,632000,545,Kecantikan,2023-07-20
PRD-0527,Selang Irigasi Elite,649000,475,Pertanian,2024-07-28
PRD-0614,Eyeliner Mini,845000,489,Kecantikan,2023-10-21
PRD-0834,Blender Plus,562000,402,Rumah & Dapur,2024-05-20
PRD-0581,Rice Cooker Plus,1008000,490,Rumah & Dapur,2023-07-02
PRD-0481,Kacamata Mini,931000,421,Fashion,2024-02-28
PRD-0872,Tas Olahraga Plus,2446000,2,Olahraga,2024-09-24
PRD-0655,Bola Basket Mini,1523000,316,Olahraga,2024-02-19
PRD-0682,Novel Lite,408000,119,Buku,2023-09-29
PRD-0886,Raket Lite,2984000,266,Olahraga,2024-04-07
PRD-0919,Mobil Remote Lite,670000,430,Mainan,2023-10-15
PRD-0650,Bantal Pro,2485000,377,Rumah & Dapur,2023-11-12
PRD-0786,Parfum Mobil Lite,1265000,448,Otomotif,2024-04-02
PRD-0801,Madu Murni Go,468000,493,Makanan & Minuman,2024-09-01
PRD-0747,Buku Sains Elite,332000,196,Buku,2024-07-06
PRD-0755,Tablet Mini,2602000,348,Elektronik,2023-12-28
PRD-0596,Kurma One,512000,217,Makanan & Minuman,2023-11-11
PRD-0795,Wajan Prime,342000,63,Rumah & Dapur,2024-01-11
PRD-0738,Sprayer Lite,394000,250,Pertanian,2023-07-10
PRD-0555,Kaos Plus,1820000,127,Fashion,2023-10-22
PRD-0479,Komik Series 5,632000,559,Buku,2024-10-13
PRD-0709,Tablet Neo,14429000,205,Elektronik,2024-03-04
PRD-0334,Kartu UNO HD,790000,69,Mainan,2022-01-29
PRD-0671,Sunscreen Neo,421000,483,Kecantikan,2024-05-12
PRD-0838,Action Figure Pro,265000,107,Mainan,2023-10-09
PRD-0116,Buku Teknik Ultra,146000,5,Buku,2023-08-22
PRD-0547,Cangkul X,336000,185,Pertanian,2023-11-04
PRD-0685,Syal Neo,1626000,100,Fashion,2023-10-21
PRD-0743,Kaos X,1729000,389,Fashion,2024-10-21
PRD-0751,Kelereng Ultra,526000,202,Mainan,2023-10-22
PRD-0790,Wajan V2,2558000,296,Rumah & Dapur,2024-08-29
PRD-0554,Minyak Zaitun Lite,253000,338,Makanan & Minuman,2024-01-05
PRD-0163,Rice Cooker Lite,2834000,51,Rumah & Dapur,2024-09-14
PRD-0533,Action Figure Series 5,470000,121,Mainan,2024-07-29
PRD-0662,Rak Lite,2586000,296,Rumah & Dapur,2024-01-05
PRD-0817,Sabun Muka Series 5,194000,54,Kecantikan,2024-08-30
PRD-0822,Blender Lite,975000,306,Rumah & Dapur,2024-10-30
PRD-0537,Pot Tanaman Elite,508000,428,Pertanian,2024-03-22
PRD-0584,Helm Sepeda X,1268000,69,Olahraga,2024-03-23
PRD-0907,Cokelat Premium Plus,47000,302,Makanan & Minuman,2024-03-05
PRD-0920,Monopoly Max,394000,10,Mainan,2023-07-13
PRD-0853,Selimut X,3086000,204,Rumah & Dapur,2024-02-12
PRD-0888,Lampu LED Lite,173000,308,Rumah & Dapur,2024-08-31
PRD-0633,Buku Bisnis Plus,349000,38,Buku,2024-02-29
